loc,dist,climb,time
Tiso Carnethy,6,2500,0.782222222
Criffel,7,1800,0.793333333
Chapelgill,1.5,1400,0.314444444
Norman's Law,5,700,0.464166667
Craig Dunain,6,900,0.546111111
Knockfarrel,5,1200,0.623333333
Screel,4,1300,0.458888889
O.P.S. Clachnaben,10.5,3500,1.278888889
Whangie Whizz,3.5,800,0.395555556
Stuc A'Chroin,14,5000,1.983333333
29th Dumyat,5,1250,0.552777778
Ben Lomond,9,3192,1.037777778
Kinnoull,4,800,0.387222222
Goatfell,8,2866,1.227777778
Scottish Nuclear Kaim,3.5,1250,0.431111111
Ardoch Rig,7,600,0.678888889
Scolty,5,800,0.495833333
Cornalees,5.5,800,0.618333333
12 Trig Trog,46,7500,8.306944444
Kilpatricks,6,1400,0.739722222
Traprain,6.5,650,0.623888889
Yetholm,8,2500,1.193055556
Ben Sheann,2.5,1400,0.381666667
Glen Rosa,13,5500,2.220277778
Scottish Borders,10,2000,1.198055556
Cort-ma,6,1500,0.742222222
White Tops,6,900,0.572777778
Dollar,6,2000,0.638333333
Ben Tee,9,2950,1.327777778
Black Hill,4,600,0.447777778
Glamaig,4.5,2400,0.744722222
Urie Loch,6,1400,0.773888889
Whiteash,5.5,728,0.508888889
Meall Ant-Suidhe,3.5,1500,0.465
Lochaber AC,2,900,0.284722222
Lochaber Highland,2,900,0.294166667
Mash Hill,6,2500,0.794166667
Ben Rhinnes,14,4900,1.976111111
Beinn Lee,7,500,0.716666667
Creag Dubh,3,1223,0.463888889
Glen Clova,15,5500,2.567222222
Caerketton,2.5,800,0.208611111
Wideford,5.5,741,0.563611111
Tap O'North,6,1220,0.665833333
Lomonds,9,2200,1.053055556
Oban,2.25,500,0.232222222
Ben Nevis,10,4400,1.426111111
Moffat Beef Tub,2,1500,0.332222222
Cairn William,6,1400,0.704444444
Corrieyairick,16,2250,1.664722222
Morven,5,1700,0.609166667
Merrick,8,2710,1.133333333
Two Breweries,18,4900,2.565833333
Manor Water,10,2300,1.184444444
Pentland,16,6200,2.377777778
Tinto,4.5,1500,0.499444444
